,seq,ni,no1,no2,F1_emp,F2_emp,F1_model,F2_model
180,"(0, 0, 1, 0, 1, 1, 0, 1, 0, 0)",238,64,40,-0.49953772345579317,-0.6143648051773802,-1.1910621790396592,-1.2144715311990981
181,"(0, 0, 1, 0, 1, 1, 0, 1, 0, 1)",171,59,24,-0.25061135601127194,-0.7800919718954296,-1.2263583578489092,-1.0797803392338257
182,"(0, 0, 1, 0, 1, 1, 0, 1, 1, 0)",163,29,39,-0.8961304875819627,-0.26246029366043944,-1.4529504062206562,-1.5465721588337558
183,"(0, 0, 1, 0, 1, 1, 0, 1, 1, 1)",135,40,16,-0.3965442604516638,-0.9309148616300131,-1.387185758701255,-1.4119180285477202
184,"(0, 0, 1, 0, 1, 1, 1, 0, 0, 0)",141,167,68,0.9706754803820785,0.4268061270458213,0.3525427300305309,0.16830667236132085
185,"(0, 0, 1, 0, 1, 1, 1, 0, 0, 1)",192,137,87,0.4671020548323995,0.36317330562314354,0.4944375989398697,0.48348225713730203
186,"(0, 0, 1, 0, 1, 1, 1, 0, 1, 0)",86,85,50,0.7909777361790045,0.6144441941195646,0.4517365084102829,0.33532301074742227
187,"(0, 0, 1, 0, 1, 1, 1, 0, 1, 1)",26,65,27,1.6963564346021769,1.1848943242206973,0.6357969124509616,0.504229434788694
188,"(0, 0, 1, 0, 1, 1, 1, 1, 0, 0)",195,83,68,-0.044759301807123286,0.10451852541656481,0.2617210580418616,0.058881001564604435
189,"(0, 0, 1, 0, 1, 1, 1, 1, 0, 1)",187,85,58,0.02044389200363894,-0.01037783887440713,-0.017108788243596518,-0.042277909075221026
190,"(0, 0, 1, 0, 1, 1, 1, 1, 1, 0)",123,106,58,0.6550858274369498,0.40578255835050525,0.2866142467894515,0.08645866126944918
191,"(0, 0, 1, 0, 1, 1, 1, 1, 1, 1)",143,67,38,0.052232964180186414,-0.15772497339653158,0.02614362356215496,-0.13640133119647174
192,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0)",831,846,455,0.8204068124109263,0.5471870487430002,0.47646142815964676,0.41219531635799533
193,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 1)",720,887,504,1.0108711642873014,0.7924459720402334,0.8421014995287565,0.680945121291449
194,"(0, 0, 1, 1, 0, 0, 0, 0, 1, 0)",623,550,347,0.6781229993635671,0.5645787914548693,0.23310046661074746,0.21207649262611664
195,"(0, 0, 1, 1, 0, 0, 0, 0, 1, 1)",583,885,411,1.2193545263569343,0.799649046571122,0.6693668512681366,0.4976465133667832
196,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 0)",1144,1320,705,0.9455229471140658,0.6649820015547245,0.6241536211113243,0.5337587889325215
197,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 1)",989,1059,661,0.8708578025575576,0.7460872928581952,0.6663991369071555,0.5365497899873233
198,"(0, 0, 1, 1, 0, 0, 0, 1, 1, 0)",912,719,398,0.5650538899952129,0.3207522163447176,0.3258023468122659,0.2818068216554488
199,"(0, 0, 1, 1, 0, 0, 0, 1, 1, 1)",595,569,344,0.7579342523433265,0.6018304300158326,0.4148678638231983,0.32598611742607725
200,"(0, 0, 1, 1, 0, 0, 1, 0, 0, 0)",747,1133,770,1.2186420648933005,1.1788120756386748,1.1593340240826318,1.1857875912882148
201,"(0, 0, 1, 1, 0, 0, 1, 0, 0, 1)",616,962,639,1.2477229464728181,1.1851258324981524,1.10530441268487,1.1065940313243021
202,"(0, 0, 1, 1, 0, 0, 1, 0, 1, 0)",491,860,653,1.362154346515503,1.4331553150147132,1.122112511668204,1.2126320485931668
203,"(0, 0, 1, 1, 0, 0, 1, 0, 1, 1)",357,380,239,0.8648049473060809,0.7486326169911135,1.0560076102882323,1.0285946842896085
204,"(0, 0, 1, 1, 0, 0, 1, 1, 0, 0)",1081,1824,1348,1.3253073651902454,1.3690790768511516,1.1840331904663794,1.3284916107168923
205,"(0, 0, 1, 1, 0, 0, 1, 1, 0, 1)",842,1228,846,1.1795277101442598,1.1532604167000216,1.0566987063483653,1.1504508678057603
206,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0)",654,877,635,1.0955499165799452,1.1190900077546928,1.0532484672338565,1.2770742650279903
207,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 1)",586,539,435,0.719082878310304,0.8511441035707605,0.890032381060454,1.0187577966858263
208,"(0, 0, 1, 1, 0, 1, 0, 0, 0, 0)",1317,348,264,-0.526260234279945,-0.4556142090264077,-0.3871773180584299,-0.4209357137051978
209,"(0, 0, 1, 1, 0, 1, 0, 0, 0, 1)",1087,506,297,0.03895313475537565,-0.14647626086066068,0.047173063913329705,-0.06297700786189342
210,"(0, 0, 1, 1, 0, 1, 0, 0, 1, 0)",791,166,99,-0.7540290208175904,-0.920864525776512,-0.6980564014017958,-0.6549424063339773
211,"(0, 0, 1, 1, 0, 1, 0, 0, 1, 1)",627,192,157,-0.3773114189832327,-0.2314184533914092,-0.16859535543238777,-0.25461249747923353
212,"(0, 0, 1, 1, 0, 1, 0, 1, 0, 0)",1732,420,299,-0.6124378974531444,-0.6053001350095824,-0.5532826664767089,-0.6100260194036925
213,"(0, 0, 1, 1, 0, 1, 0, 1, 0, 1)",1315,316,185,-0.6209117794279015,-0.8080787581222386,-0.676978396119097,-0.7126472789781442
214,"(0, 0, 1, 1, 0, 1, 0, 1, 1, 0)",1081,254,171,-0.6427643556679203,-0.6905453025431512,-0.8862344804155897,-0.8979977092430128
215,"(0, 0, 1, 1, 0, 1, 0, 1, 1, 1)",1016,272,193,-0.5126020422835198,-0.5082275569354091,-0.9386258581335075,-0.9336796868974114
216,"(0, 0, 1, 1, 0, 1, 1, 0, 0, 0)",1234,1550,868,1.0303674726945418,0.797043556253137,0.7974221693939423,0.6562002547267274
217,"(0, 0, 1, 1, 0, 1, 1, 0, 0, 1)",825,1399,720,1.3301713006624523,1.0125710438137936,0.8224213543451702,0.6863488938725568
218,"(0, 0, 1, 1, 0, 1, 1, 0, 1, 0)",690,876,428,1.0409057271845936,0.6718437752101698,0.7484640001221923,0.6768353233025869
219,"(0, 0, 1, 1, 0, 1, 1, 0, 1, 1)",640,841,517,1.075289115901737,0.9354724653886357,0.7858722458005787,0.6276911453129967
220,"(0, 0, 1, 1, 0, 1, 1, 1, 0, 0)",1732,1951,1195,0.9215390358375122,0.7776553248447936,0.7551989981138362,0.6464212817229876
221,"(0, 0, 1, 1, 0, 1, 1, 1, 0, 1)",1329,1157,721,0.6640539954972214,0.5376175977268494,0.4722417543039421,0.3831015763824939
222,"(0, 0, 1, 1, 0, 1, 1, 1, 1, 0)",1033,993,552,0.76308571016828,0.522694626503783,0.6455952001786351,0.5866626936396464
223,"(0, 0, 1, 1, 0, 1, 1, 1, 1, 1)",907,819,504,0.7005985202370859,0.5618407307238892,0.35124070502272153,0.2686182500723472
224,"(0, 0, 1, 1, 1, 0, 0, 0, 0, 0)",48,16,7,-0.25606839547433013,-0.6638520763809681,0.22069304273288975,0.146200140031501
225,"(0, 0, 1, 1, 1, 0, 0, 0, 0, 1)",30,55,36,1.3939030448300833,1.325457388208901,0.7496989457116936,0.5410076472725394
226,"(0, 0, 1, 1, 1, 0, 0, 0, 1, 0)",51,20,12,-0.10418272227792391,-0.23776768107006796,-0.03667451938424061,-0.028688188477932475
227,"(0, 0, 1, 1, 1, 0, 0, 0, 1, 1)",67,132,70,1.4733799816257274,1.1916988519150313,0.5715965381242265,0.27522250265811693
228,"(0, 0, 1, 1, 1, 0, 0, 1, 0, 0)",46,26,11,0.24822782287435097,-0.2167142718722357,0.1767481641008076,0.09378333321477918
229,"(0, 0, 1, 1, 1, 0, 0, 1, 0, 1)",159,130,82,0.602562066547405,0.4921934726125937,0.3339999040108831,0.17513528685603597
230,"(0, 0, 1, 1, 1, 0, 0, 1, 1, 0)",83,21,6,-0.5372357869049174,-1.3363799697381777,-0.12995381071418524,-0.16149684653361085
231,"(0, 0, 1, 1, 1, 0, 0, 1, 1, 1)",58,28,2,0.09229694466083505,-1.830398475187787,0.08275677165237552,-0.14647363008872932
232,"(0, 0, 1, 1, 1, 0, 1, 0, 0, 0)",46,102,85,1.5871199450996576,1.7527263745932717,1.1359672950943567,1.135241495679359
233,"(0, 0, 1, 1, 1, 0, 1, 0, 0, 1)",69,82,23,0.9728839243273193,0.07808526834840923,1.2639208074290178,1.2066426642438013
234,"(0, 0, 1, 1, 1, 0, 1, 0, 1, 0)",53,78,39,1.1830023644828276,0.8484220875994845,1.1539391593605273,1.2666828366257414
235,"(0, 0, 1, 1, 1, 0, 1, 0, 1, 1)",45,93,51,1.5171919443609894,1.2711290021421549,1.278456222954362,1.125523168938336
236,"(0, 0, 1, 1, 1, 0, 1, 1, 0, 0)",121,122,67,0.8107018692192413,0.5640133404926727,0.9844585306348955,1.0429211478042675
237,"(0, 0, 1, 1, 1, 0, 1, 1, 0, 1)",55,88,53,1.265823237577071,1.1121590358789477,0.9907475627538544,0.9679783837003613
238,"(0, 0, 1, 1, 1, 0, 1, 1, 1, 0)",57,48,20,0.6339158461442878,0.1326061072268263,0.9145230841352678,1.067541978063033
239,"(0, 0, 1, 1, 1, 0, 1, 1, 1, 1)",34,46,44,1.097338098800725,1.3998411083307287,0.8935693554402225,0.8046064566158927
240,"(0, 0, 1, 1, 1, 1, 0, 0, 0, 0)",81,12,5,-1.039231331222636,-1.4664330979863758,-0.6194643203495368,-0.6465545990658798
241,"(0, 0, 1, 1, 1, 1, 0, 0, 0, 1)",54,24,18,0.01408119821581022,0.08563247398379215,-0.0579861894574417,-0.11434413543311892
242,"(0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",36,1,8,-2.1152321735041983,-0.2651666552581824,-0.9626062544147901,-0.8793657297285291
243,"(0, 0, 1, 1, 1, 1, 0, 0, 1, 1)",50,8,0,-0.932062496808026,-2.783298952674503,-0.29737861828366274,-0.4125010949965308
244,"(0, 0, 1, 1, 1, 1, 0, 1, 0, 0)",121,36,15,-0.3905645735089518,-0.8829056424436525,-0.8166092506414023,-0.816867757353559
245,"(0, 0, 1, 1, 1, 1, 0, 1, 0, 1)",141,21,28,-1.0622460456628646,-0.4400045475649641,-0.8615368388589048,-0.7927340088596837
246,"(0, 0, 1, 1, 1, 1, 0, 1, 1, 0)",118,13,8,-1.3375276049161904,-1.4333722357254874,-1.1761680152498735,-1.1322025929205117
247,"(0, 0, 1, 1, 1, 1, 0, 1, 1, 1)",101,13,10,-1.1833769250889319,-1.0785508604360778,-1.1411524103015218,-1.1488465944187853
248,"(0, 0, 1, 1, 1, 1, 1, 0, 0, 0)",130,180,99,1.1258382666447546,0.8784995428367626,0.717386886794642,0.5409292738697195
249,"(0, 0, 1, 1, 1, 1, 1, 0, 0, 1)",77,174,62,1.6106157058140027,0.9349525797517636,0.8881311127889335,0.7698666970257755
250,"(0, 0, 1, 1, 1, 1, 1, 0, 1, 0)",71,74,28,0.8433605531003356,0.23915639102024133,0.7053658440498338,0.6421262928306942
251,"(0, 0, 1, 1, 1, 1, 1, 0, 1, 1)",18,33,24,1.3844601040298015,1.422963525751583,0.8971579720126683,0.684053866939129
252,"(0, 0, 1, 1, 1, 1, 1, 1, 0, 0)",116,80,77,0.434813778454763,0.7430615719416582,0.6595532743815006,0.4888833603642741
253,"(0, 0, 1, 1, 1, 1, 1, 1, 0, 1)",96,55,74,0.25317927081184666,0.8913038150827503,0.4739814641192208,0.3768556893128775
254,"(0, 0, 1, 1, 1, 1, 1, 1, 1, 0)",65,69,47,0.8613790586030138,0.830072948931288,0.5925425030255381,0.48112801497228547
255,"(0, 0, 1, 1, 1, 1, 1, 1, 1, 1)",110,98,59,0.6881282074023362,0.5333410409595892,0.40421228265862286,0.20665857378188132
256,"(0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1948,1644,1109,0.6329625222719919,0.5855702748486417,0.4380947358855331,0.5028847700889054
257,"(0, 1, 0, 0, 0, 0, 0, 0, 0, 1)",1865,2938,2052,1.2568108435917087,1.244031715661467,1.0960120451877895,1.2130222749047748
258,"(0, 1, 0, 0, 0, 0, 0, 0, 1, 0)",1318,740,413,0.22591003115885266,-0.0102364988421777,0.20571276368857755,0.17975100407959932
259,"(0, 1, 0, 0, 0, 0, 0, 0, 1, 1)",1158,1947,1289,1.321784199442809,1.2556113340657886,0.9818623502874368,0.9945799244259924
260,"(0, 1, 0, 0, 0, 0, 0, 1, 0, 0)",2615,2168,1451,0.6151583568298655,0.5598221628574747,0.4457707845709622,0.5335892911476642
261,"(0, 1, 0, 0, 0, 0, 0, 1, 0, 1)",2313,2696,1915,0.9557009739661885,0.9597887308270066,0.8311625508351443,0.9150887182107563
262,"(0, 1, 0, 0, 0, 0, 0, 1, 1, 0)",2020,1252,656,0.3244867960725276,0.02486298113081209,0.2137407968383015,0.18803285023475433
263,"(0, 1, 0, 0, 0, 0, 0, 1, 1, 1)",1526,1709,1093,0.9157269028581536,0.8150623578131166,0.6935585283259083,0.6987917717369839
264,"(0, 1, 0, 0, 0, 0, 1, 0, 0, 0)",1839,2518,2129,1.1166349843296592,1.294883088150262,0.9421352908573284,1.1290322256647172
265,"(0, 1, 0, 0, 0, 0, 1, 0, 0, 1)",1332,1880,1388,1.146910067702402,1.1896787026254576,1.0198317025477122,1.2809076288081713
266,"(0, 1, 0, 0, 0, 0, 1, 0, 1, 0)",1033,1289,1057,1.0237460008674237,1.1714722373996929,0.8755672827199659,1.095514736421287
267,"(0, 1, 0, 0, 0, 0, 1, 0, 1, 1)",1060,1408,1185,1.0862069318647776,1.2599011209935103,0.9887943684364633,1.2304175349484063
268,"(0, 1, 0, 0, 0, 0, 1, 1, 0, 0)",2723,3794,2832,1.1341215811404077,1.1877615126109362,0.9522842568104911,1.1460003271425296
269,"(0, 1, 0, 0, 0, 0, 1, 1, 0, 1)",1953,2764,2154,1.1497006399337875,1.2464388499849428,1.0075448083158265,1.1363492734646394
270,"(0, 1, 0, 0, 0, 0, 1, 1, 1, 0)",1724,2510,1854,1.1779925882722053,1.2211843256258978,0.8474953350694875,1.063631503546836
271,"(0, 1, 0, 0, 0, 0, 1, 1, 1, 1)",1545,1955,1503,1.0377691800274758,1.1209839554122405,0.9144802485277584,1.0615759241612244
272,"(0, 1, 0, 0, 0, 1, 0, 0, 0, 0)",2917,1075,647,-0.19510942978092083,-0.3562363526806336,-0.1970466301314918,-0.2609337962598622
273,"(0, 1, 0, 0, 0, 1, 0, 0, 0, 1)",2552,2649,1576,0.8398290603188645,0.6667818497713771,0.5417621784173956,0.46692127129491634
274,"(0, 1, 0, 0, 0, 1, 0, 0, 1, 0)",2147,638,402,-0.4098494426711401,-0.5248292136322497,-0.45640574788972577,-0.5376795577519188
275,"(0, 1, 0, 0, 0, 1, 0, 0, 1, 1)",1821,1466,913,0.5858232589031585,0.45866717368406906,0.4251196886651336,0.32041791253760993
276,"(0, 1, 0, 0, 0, 1, 0, 1, 0, 0)",3831,1353,907,-0.23778512703845056,-0.2913710804396352,-0.5582433333153548,-0.5338490513103046
277,"(0, 1, 0, 0, 0, 1, 0, 1, 0, 1)",3439,1092,674,-0.3440067036108252,-0.47998737944509173,-0.3266116238454112,-0.32925322304740734
278,"(0, 1, 0, 0, 0, 1, 0, 1, 1, 0)",2726,966,563,-0.23422032881221377,-0.4273764512977072,-0.7843328844546498,-0.8351493413713119
279,"(0, 1, 0, 0, 0, 1, 0, 1, 1, 1)",2291,683,425,-0.40668360163199946,-0.5342140515154372,-0.43379085905191217,-0.475743031465051
280,"(0, 1, 0, 0, 0, 1, 1, 0, 0, 0)",2413,3293,2222,1.1133560676601892,1.0660991923565424,0.8290548773510087,0.8855743078811017
281,"(0, 1, 0, 0, 0, 1, 1, 0, 0, 1)",2014,3091,2200,1.2307374939066098,1.2368192871955008,0.9979612740343633,1.0753005719633566
282,"(0, 1, 0, 0, 0, 1, 1, 0, 1, 0)",1651,1914,1341,0.9502695061139035,0.9407010435005264,0.7912911885895118,0.9261233033227295
283,"(0, 1, 0, 0, 0, 1, 1, 0, 1, 1)",1470,2329,1738,1.2624643845383892,1.315894473802668,1.0202126100083486,1.1244279499928758
284,"(0, 1, 0, 0, 0, 1, 1, 1, 0, 0)",3314,3706,2534,0.9143038591108498,0.8802626934551432,0.7172062951409823,0.7570934190903165
285,"(0, 1, 0, 0, 0, 1, 1, 1, 0, 1)",3017,3206,2037,0.8632801189454411,0.7559012545046985,0.6290252755984189,0.5906720648121226
286,"(0, 1, 0, 0, 0, 1, 1, 1, 1, 0)",2537,2533,1522,0.8009612711868318,0.6378323846706515,0.6741392749304884,0.7466592265143337
287,"(0, 1, 0, 0, 0, 1, 1, 1, 1, 1)",2002,2078,1341,0.839779510772275,0.7480416619156314,0.6221669680502293,0.6133843337326447
288,"(0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",136,76,50,0.22636305460563932,0.1603713869460235,0.3983158943096522,0.35744859214274155
289,"(0, 1, 0, 0, 1, 0, 0, 0, 0, 1)",158,263,144,1.309583459506165,1.0563562202501655,1.149234271999575,1.1657950933105294
290,"(0, 1, 0, 0, 1, 0, 0, 0, 1, 0)",101,38,20,-0.15887260857454433,-0.4319236955110255,0.09002315571307413,0.07886983884727537
291,"(0, 1, 0, 0, 1, 0, 0, 0, 1, 1)",86,159,105,1.4118042551593235,1.346057655507306,0.9678126519409841,0.8841907236333852
292,"(0, 1, 0, 0, 1, 0, 0, 1, 0, 0)",208,128,88,0.3200167109769415,0.29482879781715143,0.20274742022102477,0.2948502492735723
293,"(0, 1, 0, 0, 1, 0, 0, 1, 0, 1)",157,190,115,0.9922169535997435,0.8395218381292204,0.6327806473774233,0.7270619229674534
294,"(0, 1, 0, 0, 1, 0, 0, 1, 1, 0)",124,59,16,0.06856938349987995,-0.8465737131962623,-0.09953743385896181,-0.03470988661926028
295,"(0, 1, 0, 0, 1, 0, 0, 1, 1, 1)",201,134,68,0.3995456396173051,0.07436548724587722,0.4335605997622457,0.4190442496015565
296,"(0, 1, 0, 0, 1, 0, 1, 0, 0, 0)",145,293,214,1.5025117042104257,1.535558086469149,1.0435135255208894,1.230339482213005
297,"(0, 1, 0, 0, 1, 0, 1, 0, 0, 1)",56,107,69,1.4416185178697498,1.3539706542646315,1.232828297721668,1.504960907929148
298,"(0, 1, 0, 0, 1, 0, 1, 0, 1, 0)",113,155,173,1.116196117435122,1.5713835308698563,0.9702347282327336,1.3207433941023998
299,"(0, 1, 0, 0, 1, 0, 1, 0, 1, 1)",35,93,68,1.7623144023939743,1.799114246190972,1.2037190157010098,1.470675183290006
300,"(0, 1, 0, 0, 1, 0, 1, 1, 0, 0)",189,310,246,1.2953073985988284,1.4108909445173137,0.8658471094405467,1.092960631850368
301,"(0, 1, 0, 0, 1, 0, 1, 1, 0, 1)",167,281,210,1.320481650114935,1.37642083412263,0.9843664139608272,1.158558851024037
302,"(0, 1, 0, 0, 1, 0, 1, 1, 1, 0)",185,230,233,1.0192095953886726,1.3781011216943229,0.7600032986010464,1.1059545016937367
303,"(0, 1, 0, 0, 1, 0, 1, 1, 1, 1)",105,189,124,1.3861235366284994,1.3134013232400568,0.8988858063156465,1.0714311632474822
304,"(0, 1, 0, 0, 1, 1, 0, 0, 0, 0)",172,76,39,-0.006947614064014673,-0.31588546033402,-0.28722969278504373,-0.5465136811212257
305,"(0, 1, 0, 0, 1, 1, 0, 0, 0, 1)",242,215,103,0.6847555229236969,0.29985613585064685,0.5083421014621514,0.3277444382673433
306,"(0, 1, 0, 0, 1, 1, 0, 0, 1, 0)",163,54,23,-0.28999468401164696,-0.7732859174264302,-0.6407558270965565,-0.8027393631557573
307,"(0, 1, 0, 0, 1, 1, 0, 0, 1, 1)",145,106,46,0.4917607713336502,0.015067660051544696,0.3061714363979947,0.09404412705535982
308,"(0, 1, 0, 0, 1, 1, 0, 1, 0, 0)",288,83,67,-0.43307133068903814,-0.29839230288650276,-0.6910734290327898,-0.7199743732975327
309,"(0, 1, 0, 0, 1, 1, 0, 1, 0, 1)",331,164,55,0.1033490635641725,-0.6312565981315168,-0.4510383413599881,-0.41647224292197466
310,"(0, 1, 0, 0, 1, 1, 0, 1, 1, 0)",291,66,34,-0.6695226242972352,-0.9728790607290456,-1.0056740966730668,-1.0293132915947778
311,"(0, 1, 0, 0, 1, 1, 0, 1, 1, 1)",183,88,29,0.0762391707032346,-0.6652116958970076,-0.6380898518260871,-0.6787177114880579
312,"(0, 1, 0, 0, 1, 1, 1, 0, 0, 0)",226,364,178,1.2774858946811691,0.9109624684091749,0.7998789541902236,0.7416366813002253
313,"(0, 1, 0, 0, 1, 1, 1, 0, 0, 1)",134,200,164,1.2005686882007267,1.349197375511974,1.0441656286946146,1.1023030234370406
314,"(0, 1, 0, 0, 1, 1, 1, 0, 1, 0)",128,158,99,1.0116303564386397,0.8938844616762419,0.7371482261242769,0.8820721446183631
315,"(0, 1, 0, 0, 1, 1, 1, 0, 1, 1)",97,191,132,1.47506645193729,1.4539083296010045,1.050088766605534,1.143599837430868
316,"(0, 1, 0, 0, 1, 1, 1, 1, 0, 0)",302,299,217,0.7925882277269123,0.8192889373295426,0.6608124796568654,0.6515662674710544
317,"(0, 1, 0, 0, 1, 1, 1, 1, 0, 1)",248,206,133,0.6178044553807418,0.5289135835360265,0.5996521304398887,0.6085882415262918
318,"(0, 1, 0, 0, 1, 1, 1, 1, 1, 0)",242,210,193,0.6613352487155985,0.9233233957726024,0.5984343201942185,0.712459835077819
319,"(0, 1, 0, 0, 1, 1, 1, 1, 1, 1)",218,143,88,0.38328012833958014,0.24809131996546152,0.5821215248809302,0.5949112387173593
320,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 0)",1519,1763,1116,0.9514121813064949,0.8404628652787013,0.771936809932256,0.8504981355729847
321,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 1)",1137,1884,1421,1.3071940437759153,1.3713186757267326,1.256042388182962,1.3778414611522276
322,"(0, 1, 0, 1, 0, 0, 0, 0, 1, 0)",769,740,557,0.7641486690284378,0.826495127583404,0.5631855485468495,0.6092701973468809
323,"(0, 1, 0, 1, 0, 0, 0, 0, 1, 1)",602,1131,800,1.4323626206160232,1.4324704303909965,1.1444057709313618,1.2005642501437355
324,"(0, 1, 0, 1, 0, 0, 0, 1, 0, 0)",1912,2341,1661,1.0048711332974902,1.0078756860249631,0.7049120179040627,0.8158576897458578
325,"(0, 1, 0, 1, 0, 0, 0, 1, 0, 1)",1446,2182,1587,1.2137461884985403,1.2415095952254198,0.9809007320549197,1.0899323387806774
326,"(0, 1, 0, 1, 0, 0, 0, 1, 1, 0)",1386,1139,865,0.6064236796537898,0.6775131682974261,0.5158236020039588,0.5826933909444435
327,"(0, 1, 0, 1, 0, 0, 0, 1, 1, 1)",945,1264,875,1.0931233906898226,1.071650201934336,0.8651206482154435,0.9452868461054882
328,"(0, 1, 0, 1, 0, 0, 1, 0, 0, 0)",1228,1959,1418,1.2692822012386085,1.2922782476438304,1.072993700820285,1.2721367295093993
329,"(0, 1, 0, 1, 0, 0, 1, 0, 0, 1)",1060,1954,1504,1.4137168923855632,1.4981077186188156,1.0797678268905497,1.3409066364760531
330,"(0, 1, 0, 1, 0, 0, 1, 0, 1, 0)",797,1096,773,1.120764421405502,1.117989956189741,1.0358229808183932,1.2684262708846332
331,"(0, 1, 0, 1, 0, 0, 1, 0, 1, 1)",505,901,696,1.3806164093552384,1.468775421522881,1.057010147751974,1.2794828849220399
332,"(0, 1, 0, 1, 0, 0, 1, 1, 0, 0)",1666,2458,2068,1.191267718045479,1.3645664750445716,1.0681403563675143,1.3064861250677902
333,"(0, 1, 0, 1, 0, 0, 1, 1, 0, 1)",1316,2115,1580,1.2767096498149895,1.3312278155160135,1.1168873011909555,1.289098976421454
334,"(0, 1, 0, 1, 0, 0, 1, 1, 1, 0)",952,1600,1364,1.3213073679225928,1.5078214840146806,1.0120595837829893,1.2844106464190534
335,"(0, 1, 0, 1, 0, 0, 1, 1, 1, 1)",921,1338,1045,1.175671680714659,1.274710101118097,1.0514132573965687,1.2338782837520832
336,"(0, 1, 0, 1, 0, 1, 0, 0, 0, 0)",1994,1236,690,0.3245836016486044,0.08826717449352861,-0.015269401555371036,-0.12759922068277046
337,"(0, 1, 0, 1, 0, 1, 0, 0, 0, 1)",1455,1641,963,0.9227606198358226,0.7361697459037368,0.5546012556601975,0.46061467714956744
338,"(0, 1, 0, 1, 0, 1, 0, 0, 1, 0)",1207,474,310,-0.1308680158800387,-0.2084017862657035,-0.28292979859390455,-0.37444804610486554
339,"(0, 1, 0, 1, 0, 1, 0, 0, 1, 1)",1258,1297,716,0.8330454217997685,0.5855294866050959,0.40853985346483923,0.3032675661493103
340,"(0, 1, 0, 1, 0, 1, 0, 1, 0, 0)",2459,909,594,-0.19193347083543233,-0.2708285433309561,-0.423073784842569,-0.46143705187164374
341,"(0, 1, 0, 1, 0, 1, 0, 1, 0, 1)",2299,838,541,-0.20591513686995455,-0.2968717204277722,-0.295971547767719,-0.32111299212283323
342,"(0, 1, 0, 1, 0, 1, 0, 1, 1, 0)",1780,521,348,-0.42472413682694254,-0.48133168103741175,-0.6381537542411558,-0.7023540915343965
343,"(0, 1, 0, 1, 0, 1, 0, 1, 1, 1)",1777,503,353,-0.4581295894224009,-0.46542082289025277,-0.4132588343963086,-0.44796023845513444
344,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 0)",1738,2497,1764,1.1647187349113204,1.1633671350629367,1.0295479102281822,1.0693055351579677
345,"(0, 1, 0, 1, 0, 1, 1, 0, 0, 1)",1328,2125,1475,1.2723540587687283,1.253435626496995,1.1324056010096486,1.219079312577608
346,"(0, 1, 0, 1, 0, 1, 1, 0, 1, 0)",969,1318,848,1.1098716397999664,1.0152897948637414,0.9892495195103073,1.0876526695050184
347,"(0, 1, 0, 1, 0, 1, 1, 0, 1, 1)",962,1371,862,1.1565099550677853,1.038887959335125,1.1310046018644595,1.2052641411996379
348,"(0, 1, 0, 1, 0, 1, 1, 1, 0, 0)",2240,3030,2038,1.1045089618369566,1.0540639768233508,0.9307901782225096,0.9626283311952157
349,"(0, 1, 0, 1, 0, 1, 1, 1, 0, 1)",2038,2616,1550,1.0521076905357711,0.8749670726519063,0.8409691317162835,0.8316238914627615
350,"(0, 1, 0, 1, 0, 1, 1, 1, 1, 0)",1535,1981,1341,1.0574633597623961,1.0135060838738321,0.9044993170766455,0.9604785918529488
351,"(0, 1, 0, 1, 0, 1, 1, 1, 1, 1)",1477,1983,1259,1.0969637449167515,0.9889485784871992,0.8297693500699271,0.8218799253040875
352,"(0, 1, 0, 1, 1, 0, 0, 0, 0, 0)",118,205,121,1.3512912342581322,1.1734242316715497,0.7004808238861131,0.7585171751609407
353,"(0, 1, 0, 1, 1, 0, 0, 0, 0, 1)",161,353,243,1.5842391364814707,1.5580985701106405,1.4215235647088607,1.4165428241873683
354,"(0, 1, 0, 1, 1, 0, 0, 0, 1, 0)",64,58,38,0.7056887325901627,0.6377010562838319,0.3797646769855097,0.5558835042254653
355,"(0, 1, 0, 1, 1, 0, 0, 0, 1, 1)",39,91,51,1.6354476815151844,1.4108909445173137,1.2065609031834474,1.1701428485573029
356,"(0, 1, 0, 1, 1, 0, 0, 1, 0, 0)",144,103,78,0.4701957153008786,0.5412407900962697,0.4454248986505263,0.6574053350834097
357,"(0, 1, 0, 1, 1, 0, 0, 1, 0, 1)",99,152,79,1.2278062939844245,0.9253831287356129,0.9099911678779746,1.0146655578442842
358,"(0, 1, 0, 1, 1, 0, 0, 1, 1, 0)",85,41,54,0.0858608806099409,0.7015125690287858,0.1500274972875221,0.434276595878861
359,"(0, 1, 0, 1, 1, 0, 0, 1, 1, 1)",82,101,70,1.0086707640677535,0.99236594929454,0.6965409398169825,0.772338592853759
